policy,cluster,design,get_mean,get_p50,get_p99,set_mean,set_p50,objects,miss_exact,get_count,set_count,wall_s,promotions,demotions,fast_obj,slow_obj
s3-fifo-lazy-demotion-reprieve-hybrid-0.1,13,hybrid,1580,282,21919,4418,973,1959646,0.4797173685940722,78601736,72473336,753.755,36265105,35705081,560024,1399622
2q-0.25-0.5,53,flat,3332,2157,12628,7277,2139,915291,0.012695251252493833,165118960,2123181,897.231,-1,-1,-1,-1
2q-compact-0.25-0.5,53,flat,3319,2136,12719,7208,2067,919061,0.012646967967242179,165127035,2115106,896.716,-1,-1,-1,-1
arc,53,flat,3389,2196,12785,7338,1883,828188,0.013218390931744888,165031469,2210672,906.128,-1,-1,-1,-1
clock,53,flat,3341,2160,12652,7466,2162,875759,0.012493460006590086,165152708,2089433,894.046,-1,-1,-1,-1
clock-compact,53,flat,3335,2160,12656,7556,2240,879565,0.01245038473885598,165159912,2082229,888.64,-1,-1,-1,-1
fifo,53,flat,3404,2212,13029,7906,3407,1026409,0.014766971920073662,164772481,2469660,912.351,-1,-1,-1,-1
fifo-compact,53,flat,3386,2200,12847,7849,3333,1029518,0.014699423155555034,164783778,2458363,904.116,-1,-1,-1,-1
lfu,53,flat,3413,2241,13012,4098,1167,840692,0.026784792237262735,162762595,4479546,902.916,-1,-1,-1,-1
lfu-compact,53,flat,3363,2207,12767,4028,1111,845140,0.02678417636377903,162762698,4479443,897.636,-1,-1,-1,-1
lru,53,flat,3381,2185,12892,9036,2290,883440,0.012418407152536991,165165260,2076881,907.819,-1,-1,-1,-1
lru-compact,53,flat,3328,2145,12795,7809,2136,886669,0.012373579934019142,165172757,2069384,897.95,-1,-1,-1,-1
mru,53,flat,3395,2228,13155,4924,2789,1321145,0.14157284676234802,143565195,23676946,934.118,-1,-1,-1,-1
mru-compact,53,flat,3336,2197,12816,4771,2766,1323462,0.14072750360209751,143706572,23535569,920.766,-1,-1,-1,-1
s3-fifo-0.1,53,flat,3368,2171,12848,7590,2137,912104,0.012365597496147816,165174092,2068049,898.25,-1,-1,-1,-1
sieve,53,flat,3341,2154,12774,7341,2025,840610,0.012243869803125756,165194450,2047691,895.972,-1,-1,-1,-1
sieve-compact,53,flat,3309,2133,12640,7270,1952,842897,0.012209350991267206,165200223,2041918,886.796,-1,-1,-1,-1
2q-compact-hybrid-0.1,53,hybrid,3613,2264,16825,4447,2126,843777,0.023842943986228927,163254596,3987545,971.622,4681986,4469782,212204,631573
2q-fast-admission-compact-hybrid-0.1,53,hybrid,3740,2275,17920,4209,1306,843903,0.02386186864230589,163251431,3990710,990.501,5092793,5915159,147066,696837
2q-fast-admission-hybrid-0.1,53,hybrid,3683,2240,17697,4061,1256,837329,0.024225467192506223,163190622,4051519,985.95,5126226,5944864,146543,690786
2q-fast-admission-reprieve-compact-hybrid-0.1,53,hybrid,3754,2269,18051,6417,2166,919289,0.012239684255178246,165195150,2046991,1007.761,5308948,6938270,366670,552619
2q-fast-admission-reprieve-hybrid-0.1,53,hybrid,3654,2178,17869,6263,2122,911418,0.012299555528890293,165185137,2057004,976.626,5335488,6986359,360559,550859
2q-full-fast-admission-compact-hybrid-0.25-0.5,53,hybrid,3895,2283,20429,6150,2105,940735,0.012408015034918741,165166998,2075143,1025.667,7693990,9299857,469276,471459
2q-full-fast-admission-hybrid-0.25-0.5,53,hybrid,3778,2185,20401,5939,2020,934013,0.012481848100712846,165154650,2087491,1005.88,7824654,9447460,464685,469328
2q-ghost-compact-hybrid-0.1,53,hybrid,3632,2233,17163,5825,3281,855657,0.0141306610036761,164878899,2363242,967.707,5461116,5223010,238106,617551
2q-ghost-hybrid-0.1,53,hybrid,3453,2105,16829,5707,3241,851538,0.014207208696281878,164866097,2376044,933.729,5486211,5248417,237794,613744
2q-hybrid-0.1,53,hybrid,3596,2261,16788,4440,2133,837391,0.02419360919327145,163195950,4046191,966.15,4693915,4486281,207634,629757
fifo-compact-hybrid,53,hybrid,4678,2430,20378,7151,2953,1043724,0.014426692851295176,164829390,2412751,1142.765,0,2069764,342987,700737
fifo-hybrid,53,hybrid,4666,2416,20401,7096,2970,1038946,0.014512831428054967,164814984,2427157,1132.911,0,2089552,337605,701341
lfu-compact-hybrid,53,hybrid,3543,2238,15545,4586,1826,858594,0.02564285517009735,162953575,4288566,929.656,451858,469753,230491,628103
lfu-hybrid,53,hybrid,3569,2244,15736,4619,1825,852736,0.025781534332306833,162930382,4311759,934.008,447304,468943,225396,627340
lru-compact-hybrid,53,hybrid,3715,2253,17499,6231,2109,902774,0.01216233532910823,165208086,2034055,992.291,4480373,6261616,252812,649962
lru-hybrid,53,hybrid,3660,2219,17314,6197,2115,896977,0.012234488196369119,165196019,2046122,977.69,4499999,6295684,250437,646540
lru-lfu-compact-hybrid-2,53,hybrid,3692,2234,17519,6395,2168,967947,0.012820722021251809,165097976,2144165,989.214,4372728,6265529,251364,716583
lru-lfu-hybrid-2,53,hybrid,3651,2205,17388,6382,2189,962908,0.012912863869639172,165082566,2159575,983.187,4389503,6299007,250071,712837
lru-sized-compact-hybrid,53,hybrid,3807,2232,18946,6838,2384,1079986,0.011602673754338029,165301685,1940456,1013.084,3752168,5085369,607255,472731
lru-sized-hybrid,53,hybrid,3771,2205,18999,6760,2341,1071834,0.011673427452713608,165289852,1952289,998.042,3775204,5128292,599201,472633
s3-fifo-compact-hybrid-0.1,53,hybrid,4865,2454,21453,6727,4299,915011,0.013918716814322534,164914345,2327796,1186.641,3667708,3372984,294724,620287
s3-fifo-ghost-compact-hybrid-0.1,53,hybrid,4882,2472,21758,6525,4154,962418,0.013185402834564286,165036986,2205155,1183.823,4303236,4017005,286231,676187
s3-fifo-ghost-hybrid-0.1,53,hybrid,4765,2333,21808,6418,4120,950162,0.013227371921769406,165029967,2212174,1158.79,4305739,4024248,281491,668671
s3-fifo-ghost-lazy-demotion-compact-hybrid-0.1,53,hybrid,3817,2210,17883,6521,4184,958973,0.013127385160657564,165046689,2195452,990.637,3063177,2811683,251494,707479
s3-fifo-ghost-lazy-demotion-fast-admission-compact-hybrid-0.1,53,hybrid,3998,2241,18706,6596,2288,959649,0.013140091288355367,165044564,2197577,1025.331,1743769,3093338,430409,529240
s3-fifo-ghost-lazy-demotion-fast-admission-hybrid-0.1,53,hybrid,3853,2131,18511,6259,2118,947438,0.01318854199552492,165036461,2205680,994.651,1749008,3102814,415207,532231
s3-fifo-ghost-lazy-demotion-fast-admission-midpoint-compact-hybrid-0.1,53,hybrid,4025,2276,18866,6561,2328,960045,0.013141777466242793,165044282,2197859,1033.218,1859379,3215189,424085,535960
s3-fifo-ghost-lazy-demotion-fast-admission-midpoint-hybrid-0.1,53,hybrid,3883,2160,18796,6509,2160,947940,0.013189241579967575,165036344,2205797,998.447,1867049,3225026,411070,536870
s3-fifo-ghost-lazy-demotion-hybrid-0.1,53,hybrid,3681,2102,17801,6353,4066,946789,0.013170825168998524,165039424,2202717,961.835,3070841,2820685,250156,696633
s3-fifo-hybrid-0.1,53,hybrid,4719,2307,21154,6523,4196,905753,0.013949761621384648,164909153,2332988,1147.069,3648761,3354288,294473,611280
s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-compact-hybrid-0.1,53,hybrid,4003,2269,18849,6480,2237,945110,0.012509269419123259,165150064,2092077,1024.209,1989764,3715388,366453,578657
s3-fifo-lazy-demotion-fast-admission-midpoint-reprieve-hybrid-0.1,53,hybrid,3911,2186,18896,6723,2148,938236,0.012581822903116267,165137930,2104211,1003.846,2009062,3752032,361241,576995
s3-fifo-lazy-demotion-fast-admission-reprieve-compact-hybrid-0.1,53,hybrid,4000,2254,18645,6529,2209,945064,0.012503595011977274,165151013,2091128,1020.713,1873004,3597394,366738,578326
s3-fifo-lazy-demotion-fast-admission-reprieve-hybrid-0.1,53,hybrid,4002,2261,18786,6901,2244,937581,0.012574223143914428,165139201,2102940,1024.044,1891708,3635566,359082,578499
s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-compact-hybrid-0.1,53,hybrid,3948,2239,18894,6453,2199,948281,0.012541791126675424,165144625,2097516,1015.617,2759085,4494842,361759,586522
s3-fifo-lazy-demotion-fast-admission-split-slow-reprieve-hybrid-0.1,53,hybrid,3936,2235,18871,6441,2255,940196,0.012619199846287545,165131679,2110462,1013.952,2778542,4529686,359318,580878
s3-fifo-lazy-demotion-reprieve-compact-hybrid-0.1,53,hybrid,3811,2233,17895,7746,4188,948613,0.012546347394584,165143863,2098278,994.952,2992509,2747329,245180,703433
s3-fifo-lazy-demotion-reprieve-hybrid-0.1,53,hybrid,3781,2212,17831,7765,4256,941682,0.012627612797662044,165130272,2111869,985.548,3017460,2773827,243633,698049
